snapshot,region,carrier,p_nom
1/5/2021,서울,fuelcell,67.8
1/5/2021,서울,IGCC,0
1/5/2021,서울,solar,40.5198
1/5/2021,서울,wind,0
1/5/2021,서울,water,0.316
1/5/2021,서울,ocean,0
1/5/2021,서울,bio,6.865
1/5/2021,서울,waste,0
1/4/2021,서울,fuelcell,67.8
1/4/2021,서울,IGCC,0
1/4/2021,서울,solar,41.02462
1/4/2021,서울,wind,0
1/4/2021,서울,water,0.316
1/4/2021,서울,ocean,0
1/4/2021,서울,bio,6.865
1/4/2021,서울,waste,0
1/3/2021,서울,fuelcell,67.8
1/3/2021,서울,IGCC,0
1/3/2021,서울,solar,40.94662
1/3/2021,서울,wind,0
1/3/2021,서울,water,0.316
1/3/2021,서울,ocean,0
1/3/2021,서울,bio,6.865
1/3/2021,서울,waste,0
1/2/2021,서울,fuelcell,67.8
1/2/2021,서울,IGCC,0
1/2/2021,서울,solar,39.9159
1/2/2021,서울,wind,0
1/2/2021,서울,water,0.316
1/2/2021,서울,ocean,0
1/2/2021,서울,bio,6.865
1/2/2021,서울,waste,0
1/1/2021,서울,fuelcell,67.8
1/1/2021,서울,IGCC,0
1/1/2021,서울,solar,39.5179
1/1/2021,서울,wind,0
1/1/2021,서울,water,0.316
1/1/2021,서울,ocean,0
1/1/2021,서울,bio,6.865
1/1/2021,서울,waste,0
1/12/2020,서울,fuelcell,67.8
1/12/2020,서울,IGCC,0
1/12/2020,서울,solar,40.877661
1/12/2020,서울,wind,0
1/12/2020,서울,water,0.316
1/12/2020,서울,ocean,0
1/12/2020,서울,bio,6.865
1/12/2020,서울,waste,0
1/11/2020,서울,fuelcell,67.8
1/11/2020,서울,IGCC,0
1/11/2020,서울,solar,40.455661
1/11/2020,서울,wind,0
1/11/2020,서울,water,0.316
1/11/2020,서울,ocean,0
1/11/2020,서울,bio,6.865
1/11/2020,서울,waste,0
1/10/2020,서울,fuelcell,67.8
1/10/2020,서울,IGCC,0
1/10/2020,서울,solar,40.356661
1/10/2020,서울,wind,0
1/10/2020,서울,water,0.316
1/10/2020,서울,ocean,0
1/10/2020,서울,bio,6.865
1/10/2020,서울,waste,0
1/9/2020,서울,fuelcell,67.8
1/9/2020,서울,IGCC,0
1/9/2020,서울,solar,40.371661
1/9/2020,서울,wind,0
1/9/2020,서울,water,0.416
1/9/2020,서울,ocean,0
1/9/2020,서울,bio,6.865
1/9/2020,서울,waste,0
1/8/2020,서울,fuelcell,61.8
1/8/2020,서울,IGCC,0
1/8/2020,서울,solar,39.717661
1/8/2020,서울,wind,0
1/8/2020,서울,water,0.416
1/8/2020,서울,ocean,0
1/8/2020,서울,bio,6.865
1/8/2020,서울,waste,0
1/7/2020,서울,fuelcell,61.8
1/7/2020,서울,IGCC,0
1/7/2020,서울,solar,39.544661
1/7/2020,서울,wind,0
1/7/2020,서울,water,0.416
1/7/2020,서울,ocean,0
1/7/2020,서울,bio,6.865
1/7/2020,서울,waste,0
1/6/2020,서울,fuelcell,61.8
1/6/2020,서울,IGCC,0
1/6/2020,서울,solar,39.332661
1/6/2020,서울,wind,0
1/6/2020,서울,water,0.416
1/6/2020,서울,ocean,0
1/6/2020,서울,bio,6.865
1/6/2020,서울,waste,0
1/5/2020,서울,fuelcell,61.8
1/5/2020,서울,IGCC,0
1/5/2020,서울,solar,37.958661
1/5/2020,서울,wind,0
1/5/2020,서울,water,0.416
1/5/2020,서울,ocean,0
1/5/2020,서울,bio,6.865
1/5/2020,서울,waste,0
1/4/2020,서울,fuelcell,42
1/4/2020,서울,IGCC,0
1/4/2020,서울,solar,37.541661
1/4/2020,서울,wind,0
1/4/2020,서울,water,0.416
1/4/2020,서울,ocean,0
1/4/2020,서울,bio,6.865
1/4/2020,서울,waste,0
1/3/2020,서울,fuelcell,42
1/3/2020,서울,IGCC,0
1/3/2020,서울,solar,38.575642
1/3/2020,서울,wind,0
1/3/2020,서울,water,0.416
1/3/2020,서울,ocean,0
1/3/2020,서울,bio,6.865
1/3/2020,서울,waste,0
1/2/2020,서울,fuelcell,42
1/2/2020,서울,IGCC,0
1/2/2020,서울,solar,38.575642
1/2/2020,서울,wind,0
1/2/2020,서울,water,0.416
1/2/2020,서울,ocean,0
1/2/2020,서울,bio,6.865
1/2/2020,서울,waste,0
1/1/2020,서울,fuelcell,42
1/1/2020,서울,IGCC,0
1/1/2020,서울,solar,38.391642
1/1/2020,서울,wind,0
1/1/2020,서울,water,0.416
1/1/2020,서울,ocean,0
1/1/2020,서울,bio,6.865
1/1/2020,서울,waste,0
1/12/2019,서울,fuelcell,42
1/12/2019,서울,IGCC,0
1/12/2019,서울,solar,38.391642
1/12/2019,서울,wind,0
1/12/2019,서울,water,0.416
1/12/2019,서울,ocean,0
1/12/2019,서울,bio,6.865
1/12/2019,서울,waste,0
1/11/2019,서울,fuelcell,42
1/11/2019,서울,IGCC,0
1/11/2019,서울,solar,38.138042
1/11/2019,서울,wind,0
1/11/2019,서울,water,0.416
1/11/2019,서울,ocean,0
1/11/2019,서울,bio,6.865
1/11/2019,서울,waste,0
1/10/2019,서울,fuelcell,42
1/10/2019,서울,IGCC,0
1/10/2019,서울,solar,38.138042
1/10/2019,서울,wind,0
1/10/2019,서울,water,0.416
1/10/2019,서울,ocean,0
1/10/2019,서울,bio,6.865
1/10/2019,서울,waste,0
1/9/2019,서울,fuelcell,42
1/9/2019,서울,IGCC,0
1/9/2019,서울,solar,37.727841
1/9/2019,서울,wind,0
1/9/2019,서울,water,0.416
1/9/2019,서울,ocean,0
1/9/2019,서울,bio,6.865
1/9/2019,서울,waste,18.45
1/8/2019,서울,fuelcell,42
1/8/2019,서울,IGCC,0
1/8/2019,서울,solar,37.727841
1/8/2019,서울,wind,0
1/8/2019,서울,water,0.416
1/8/2019,서울,ocean,0
1/8/2019,서울,bio,6.865
1/8/2019,서울,waste,18.45
1/7/2019,서울,fuelcell,42
1/7/2019,서울,IGCC,0
1/7/2019,서울,solar,36.339401
1/7/2019,서울,wind,0
1/7/2019,서울,water,0.416
1/7/2019,서울,ocean,0
1/7/2019,서울,bio,6.865
1/7/2019,서울,waste,18.45
1/6/2019,서울,fuelcell,42
1/6/2019,서울,IGCC,0
1/6/2019,서울,solar,36.339401
1/6/2019,서울,wind,0
1/6/2019,서울,water,0.416
1/6/2019,서울,ocean,0
1/6/2019,서울,bio,6.865
1/6/2019,서울,waste,18.45
1/5/2019,서울,fuelcell,42
1/5/2019,서울,IGCC,0
1/5/2019,서울,solar,35.152671
1/5/2019,서울,wind,0
1/5/2019,서울,water,0.416
1/5/2019,서울,ocean,0
1/5/2019,서울,bio,6.865
1/5/2019,서울,waste,18.45
1/4/2019,서울,fuelcell,42
1/4/2019,서울,IGCC,0
1/4/2019,서울,solar,35.152671
1/4/2019,서울,wind,0
1/4/2019,서울,water,0.416
1/4/2019,서울,ocean,0
1/4/2019,서울,bio,6.865
1/4/2019,서울,waste,18.45
1/3/2019,서울,fuelcell,42
1/3/2019,서울,IGCC,0
1/3/2019,서울,solar,35.152671
1/3/2019,서울,wind,0
1/3/2019,서울,water,0.416
1/3/2019,서울,ocean,0
1/3/2019,서울,bio,6.865
1/3/2019,서울,waste,18.45
1/2/2019,서울,fuelcell,42
1/2/2019,서울,IGCC,0
1/2/2019,서울,solar,33.156671
1/2/2019,서울,wind,0
1/2/2019,서울,water,0.416
1/2/2019,서울,ocean,0
1/2/2019,서울,bio,6.865
1/2/2019,서울,waste,18.45
1/1/2019,서울,fuelcell,42
1/1/2019,서울,IGCC,0
1/1/2019,서울,solar,33.156671
1/1/2019,서울,wind,0
1/1/2019,서울,water,0.416
1/1/2019,서울,ocean,0
1/1/2019,서울,bio,6.865
1/1/2019,서울,waste,18.45
1/12/2018,서울,fuelcell,42
1/12/2018,서울,IGCC,0
1/12/2018,서울,solar,33.156671
1/12/2018,서울,wind,0
1/12/2018,서울,water,0.416
