snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/1/2024,anthracite,KR,generators,generators_t,fuel_cost,50.7656,FALSE,national
1/1/2024,oil,KR,generators,generators_t,fuel_cost,351.09538,FALSE,national
1/1/2024,LNG,KR,generators,generators_t,fuel_cost,164.63564,FALSE,national
1/12/2023,nuclear,KR,generators,generators_t,fuel_cost,6.421,FALSE,national
1/12/2023,bituminous,KR,generators,generators_t,fuel_cost,89.6142,FALSE,national
1/12/2023,anthracite,KR,generators,generators_t,fuel_cost,87.9026,FALSE,national
1/12/2023,oil,KR,generators,generators_t,fuel_cost,341.542,FALSE,national
1/12/2023,LNG,KR,generators,generators_t,fuel_cost,152.245,FALSE,national
1/11/2023,nuclear,KR,generators,generators_t,fuel_cost,6.384,FALSE,national
1/11/2023,bituminous,KR,generators,generators_t,fuel_cost,73.729,FALSE,national
1/11/2023,anthracite,KR,generators,generators_t,fuel_cost,89.061,FALSE,national
1/11/2023,oil,KR,generators,generators_t,fuel_cost,339.168,FALSE,national
1/11/2023,LNG,KR,generators,generators_t,fuel_cost,144.737,FALSE,national
1/10/2023,nuclear,KR,generators,generators_t,fuel_cost,6.377,FALSE,national
1/10/2023,bituminous,KR,generators,generators_t,fuel_cost,80.054,FALSE,national
1/10/2023,anthracite,KR,generators,generators_t,fuel_cost,84.968,FALSE,national
1/10/2023,oil,KR,generators,generators_t,fuel_cost,336.934,FALSE,national
1/10/2023,LNG,KR,generators,generators_t,fuel_cost,156.185,FALSE,national
1/9/2023,nuclear,KR,generators,generators_t,fuel_cost,6.37,FALSE,national
1/9/2023,bituminous,KR,generators,generators_t,fuel_cost,88.3254,FALSE,national
1/9/2023,anthracite,KR,generators,generators_t,fuel_cost,93.712,FALSE,national
1/9/2023,oil,KR,generators,generators_t,fuel_cost,320.657,FALSE,national
1/9/2023,LNG,KR,generators,generators_t,fuel_cost,147.452,FALSE,national
1/8/2023,nuclear,KR,generators,generators_t,fuel_cost,6.36,FALSE,national
1/8/2023,bituminous,KR,generators,generators_t,fuel_cost,90.603,FALSE,national
1/8/2023,anthracite,KR,generators,generators_t,fuel_cost,91.941,FALSE,national
1/8/2023,oil,KR,generators,generators_t,fuel_cost,318.633,FALSE,national
1/8/2023,LNG,KR,generators,generators_t,fuel_cost,148.663,FALSE,national
1/7/2023,nuclear,KR,generators,generators_t,fuel_cost,6.356,FALSE,national
1/7/2023,bituminous,KR,generators,generators_t,fuel_cost,104.438,FALSE,national
1/7/2023,anthracite,KR,generators,generators_t,fuel_cost,77.925,FALSE,national
1/7/2023,oil,KR,generators,generators_t,fuel_cost,318.24,FALSE,national
1/7/2023,LNG,KR,generators,generators_t,fuel_cost,156.968,FALSE,national
1/6/2023,nuclear,KR,generators,generators_t,fuel_cost,6.36,FALSE,national
1/6/2023,bituminous,KR,generators,generators_t,fuel_cost,105.706,FALSE,national
1/6/2023,anthracite,KR,generators,generators_t,fuel_cost,74.928,FALSE,national
1/6/2023,oil,KR,generators,generators_t,fuel_cost,320.673,FALSE,national
1/6/2023,LNG,KR,generators,generators_t,fuel_cost,158.86,FALSE,national
1/5/2023,nuclear,KR,generators,generators_t,fuel_cost,6.37,FALSE,national
1/5/2023,bituminous,KR,generators,generators_t,fuel_cost,109.1,FALSE,national
1/5/2023,anthracite,KR,generators,generators_t,fuel_cost,92.85,FALSE,national
1/5/2023,oil,KR,generators,generators_t,fuel_cost,321,FALSE,national
1/5/2023,LNG,KR,generators,generators_t,fuel_cost,164.03,FALSE,national
1/4/2023,nuclear,KR,generators,generators_t,fuel_cost,6.37,FALSE,national
1/4/2023,bituminous,KR,generators,generators_t,fuel_cost,110.72,FALSE,national
1/4/2023,anthracite,KR,generators,generators_t,fuel_cost,100.533,FALSE,national
1/4/2023,oil,KR,generators,generators_t,fuel_cost,316.834,FALSE,national
1/4/2023,LNG,KR,generators,generators_t,fuel_cost,178.37,FALSE,national
1/3/2023,nuclear,KR,generators,generators_t,fuel_cost,6.36,FALSE,national
1/3/2023,bituminous,KR,generators,generators_t,fuel_cost,114.135,FALSE,national
1/3/2023,anthracite,KR,generators,generators_t,fuel_cost,101.015,FALSE,national
