snapshot,carrier,fuelcost_t
1/6/2013,nuclear,4491.848906
1/6/2013,bituminous,39273.57471
1/6/2013,anthracite,60488.78447
1/6/2013,oil,238093.1441
1/6/2013,LNG,139484.9701
1/5/2013,nuclear,4465.005714
1/5/2013,bituminous,37740.85354
1/5/2013,anthracite,60826.19836
1/5/2013,oil,233715.8103
1/5/2013,LNG,133355.8817
1/4/2013,nuclear,4435.291967
1/4/2013,bituminous,36871.33685
1/4/2013,anthracite,61782.15113
1/4/2013,oil,232815.2307
1/4/2013,LNG,138005.8847
1/3/2013,nuclear,4404.28799
1/3/2013,bituminous,39148.56492
1/3/2013,anthracite,60541.63758
1/3/2013,oil,224691.9061
1/3/2013,LNG,144003.2022
1/2/2013,nuclear,4356.258206
1/2/2013,bituminous,37825.8917
1/2/2013,anthracite,72329.4946
1/2/2013,oil,226677.6014
1/2/2013,LNG,141038.7492
1/1/2013,nuclear,4319.404801
1/1/2013,bituminous,39257.82221
1/1/2013,anthracite,72167.88445
1/1/2013,oil,230655.7772
1/1/2013,LNG,138302.1893
1/12/2012,nuclear,4270
1/12/2012,bituminous,40730
1/12/2012,anthracite,66980
1/12/2012,oil,235740
1/12/2012,LNG,131800
1/11/2012,nuclear,4230
1/11/2012,bituminous,43730
1/11/2012,anthracite,72220
1/11/2012,oil,255280
1/11/2012,LNG,120430
1/10/2012,nuclear,4200
1/10/2012,bituminous,45327
1/10/2012,anthracite,63619
1/10/2012,oil,252296
1/10/2012,LNG,136583
1/9/2012,nuclear,4174
1/9/2012,bituminous,47685
1/9/2012,anthracite,69443
1/9/2012,oil,240714
1/9/2012,LNG,141645
1/8/2012,nuclear,4153
1/8/2012,bituminous,49748
1/8/2012,anthracite,74403
1/8/2012,oil,245481
1/8/2012,LNG,149902
1/7/2012,nuclear,4131
1/7/2012,bituminous,48888
1/7/2012,anthracite,76203
1/7/2012,oil,257488
1/7/2012,LNG,165320
1/6/2012,nuclear,4098
1/6/2012,bituminous,49411
1/6/2012,anthracite,75487
1/6/2012,oil,268375
1/6/2012,LNG,154335
1/5/2012,nuclear,4068
1/5/2012,bituminous,51168
1/5/2012,anthracite,77512
1/5/2012,oil,258743
1/5/2012,LNG,148448
1/4/2012,nuclear,3715
1/4/2012,bituminous,53657
1/4/2012,anthracite,80090
1/4/2012,oil,256132
1/4/2012,LNG,133608
1/3/2012,nuclear,3596
1/3/2012,bituminous,53305
1/3/2012,anthracite,79685
1/3/2012,oil,242640
1/3/2012,LNG,138781
1/2/2012,nuclear,3964
1/2/2012,bituminous,51004
1/2/2012,anthracite,80713
1/2/2012,oil,237383
1/2/2012,LNG,133365
1/1/2012,nuclear,3693
1/1/2012,bituminous,50184
1/1/2012,anthracite,79383
1/1/2012,oil,225180
1/1/2012,LNG,137456
1/12/2011,nuclear,3660
1/12/2011,bituminous,51386
1/12/2011,anthracite,77371
1/12/2011,oil,227747
1/12/2011,LNG,135936
1/11/2011,nuclear,3845
1/11/2011,bituminous,47115
1/11/2011,anthracite,75322
1/11/2011,oil,221569
1/11/2011,LNG,135198
1/10/2011,nuclear,3611
1/10/2011,bituminous,46874
1/10/2011,anthracite,69819
1/10/2011,oil,215881
1/10/2011,LNG,122862
1/9/2011,nuclear,3586
1/9/2011,bituminous,47278
1/9/2011,anthracite,67529
1/9/2011,oil,212573
1/9/2011,LNG,125027
1/8/2011,nuclear,3763
1/8/2011,bituminous,45935
1/8/2011,anthracite,69475
1/8/2011,oil,212063
1/8/2011,LNG,124920
1/7/2011,nuclear,3738
1/7/2011,bituminous,44593
1/7/2011,anthracite,69304
1/7/2011,oil,218122
1/7/2011,LNG,127813
1/6/2011,nuclear,3726
1/6/2011,bituminous,47680
1/6/2011,anthracite,73080
1/6/2011,oil,201596
1/6/2011,LNG,117551
1/5/2011,nuclear,3664
1/5/2011,bituminous,47589
1/5/2011,anthracite,70887
1/5/2011,oil,207839
1/5/2011,LNG,117870
1/4/2011,nuclear,3633
1/4/2011,bituminous,45956
1/4/2011,anthracite,73844
1/4/2011,oil,190676
1/4/2011,LNG,110996
1/3/2011,nuclear,3609
1/3/2011,bituminous,47063
1/3/2011,anthracite,66257
1/3/2011,oil,180593
1/3/2011,LNG,113773
1/2/2011,nuclear,3583
1/2/2011,bituminous,38299
1/2/2011,anthracite,70123
1/2/2011,oil,172357
1/2/2011,LNG,112916
1/1/2011,nuclear,3559
1/1/2011,bituminous,39255
1/1/2011,anthracite,68016
1/1/2011,oil,164193
1/1/2011,LNG,109579
1/12/2010,nuclear,3526
1/12/2010,bituminous,40232
1/12/2010,anthracite,68345
1/12/2010,oil,156786
1/12/2010,LNG,108144
1/11/2010,nuclear,3496
1/11/2010,bituminous,41189
1/11/2010,anthracite,71273
1/11/2010,oil,161869
1/11/2010,LNG,99968
1/10/2010,nuclear,3468
1/10/2010,bituminous,42579
1/10/2010,anthracite,71782
1/10/2010,oil,164322
1/10/2010,LNG,107009
1/9/2010,nuclear,3439
1/9/2010,bituminous,40876
1/9/2010,anthracite,72577
1/9/2010,oil,166825
1/9/2010,LNG,110565
1/8/2010,nuclear,3415
1/8/2010,bituminous,41479
1/8/2010,anthracite,70280
1/8/2010,oil,157926
1/8/2010,LNG,117967
1/7/2010,nuclear,3383
1/7/2010,bituminous,37946
1/7/2010,anthracite,65021
1/7/2010,oil,163160
