name,bus0,bus1,marginal_cost
853,199,199,0.1
854,200,148,0.1
855,145,201,0.1
856,202,202,0.1
857,202,202,0.1
858,202,202,0.1
859,76,76,0.1
860,149,202,0.1
861,149,149,0.1
862,74,203,0.1
863,204,78,0.1
864,205,205,0.1
865,204,204,0.1
866,204,204,0.1
867,204,204,0.1
868,78,206,0.1
869,204,204,0.1
870,204,204,0.1
871,204,204,0.1
872,77,207,0.1
873,78,78,0.1
874,78,78,0.1
875,78,78,0.1
876,78,78,0.1
877,74,208,0.1
878,78,209,0.1
879,209,207,0.1
880,114,2,0.1
881,171,171,0.1
882,234,210,0.1
883,1,1,0.1
884,152,68,0.1
885,152,68,0.1
886,68,68,0.1
887,211,212,0.1
888,211,211,0.1
889,211,211,0.1
890,211,211,0.1
891,211,211,0.1
892,211,211,0.1
893,211,211,0.1
894,211,211,0.1
895,211,45,0.1
896,211,211,0.1
897,213,32,0.1
898,123,123,0.1
899,74,214,0.1
900,215,216,0.1
901,215,175,0.1
902,216,217,0.1
903,152,152,0.1
904,68,68,0.1
905,28,28,0.1
906,218,219,0.1
907,120,220,0.1
908,220,221,0.1
909,217,218,0.1
910,218,222,0.1
911,120,120,0.1
912,220,133,0.1
913,120,133,0.1
914,223,224,0.1
915,349,92,0.1
916,221,221,0.1
917,221,221,0.1
918,221,221,0.1
919,221,225,0.1
920,225,225,0.1
921,221,226,0.1
922,227,80,0.1
923,228,229,0.1
924,221,221,0.1
925,211,43,0.1
926,225,228,0.1
927,68,68,0.1
928,292,292,0.1
929,180,41,0.1
930,23,23,0.1
931,74,74,0.1
932,124,129,0.1
933,124,129,0.1
934,230,124,0.1
935,129,129,0.1
936,127,127,0.1
937,124,127,0.1
938,28,153,0.1
939,153,9,0.1
940,153,153,0.1
941,68,68,0.1
942,231,231,0.1
943,231,231,0.1
944,231,231,0.1
945,231,232,0.1
946,231,233,0.1
947,234,234,0.1
948,234,234,0.1
949,123,235,0.1
950,127,185,0.1
951,128,123,0.1
952,236,236,0.1
953,76,202,0.1
954,152,152,0.1
955,178,178,0.1
956,160,160,0.1
957,19,9,0.1
958,7,7,0.1
959,92,92,0.1
960,237,238,0.1
961,159,239,0.1
962,240,159,0.1
963,159,158,0.1
964,68,165,0.1
965,147,134,0.1
966,241,242,0.1
967,243,237,0.1
968,243,143,0.1
969,243,243,0.1
970,237,244,0.1
971,136,243,0.1
972,238,245,0.1
973,245,245,0.1
974,92,92,0.1
975,161,161,0.1
976,246,161,0.1
977,25,18,0.1
978,64,64,0.1
979,64,64,0.1
980,64,179,0.1
981,247,248,0.1
982,245,207,0.1
983,207,207,0.1
984,249,70,0.1
985,221,212,0.1
986,68,68,0.1
987,23,23,0.1
988,38,38,0.1
989,38,38,0.1
990,211,211,0.1
991,250,250,0.1
992,38,38,0.1
993,38,39,0.1
994,15,15,0.1
995,251,251,0.1
996,95,114,0.1
997,248,252,0.1
998,253,254,0.1
999,255,253,0.1
1000,253,253,0.1
1001,253,256,0.1
1002,253,253,0.1
1003,253,253,0.1
1004,253,253,0.1
1005,255,252,0.1
1006,24,24,0.1
1007,24,257,0.1
1008,21,21,0.1
1009,21,21,0.1
1010,21,21,0.1
1011,21,21,0.1
1012,258,259,0.1
1013,260,258,0.1
1014,260,260,0.1
1015,92,92,0.1
1016,92,261,0.1
1017,7,7,0.1
1018,58,59,0.1
1019,262,262,0.1
1020,59,64,0.1
1021,263,264,0.1
1022,263,265,0.1
1023,263,266,0.1
1024,39,39,0.1
1025,39,39,0.1
1026,41,108,0.1
1027,41,41,0.1
1028,41,41,0.1
1029,41,41,0.1
1030,41,41,0.1
1031,179,292,0.1
1032,292,292,0.1
1033,34,34,0.1
1034,9,9,0.1
1035,19,19,0.1
1036,9,9,0.1
1037,18,9,0.1
1038,254,209,0.1
1039,267,268,0.1
1040,269,269,0.1
1041,269,121,0.1
1042,269,270,0.1
1043,271,272,0.1
1044,64,64,0.1
1045,152,152,0.1
1046,41,41,0.1
1047,210,273,0.1
1048,68,68,0.1
1049,86,86,0.1
1050,88,88,0.1
1051,87,87,0.1
1052,87,87,0.1
1053,274,274,0.1
1054,274,275,0.1
1055,219,275,0.1
1056,276,274,0.1
1057,152,152,0.1
1058,11,116,0.1
1059,11,11,0.1
1060,9,178,0.1
1061,277,278,0.1
1062,7,7,0.1
1063,279,280,0.1
1064,281,258,0.1
1065,147,147,0.1
1066,234,234,0.1
1067,316,316,0.1
1068,178,64,0.1
1069,178,322,0.1
1070,84,282,0.1
1071,28,153,0.1
1072,47,264,0.1
1073,283,74,0.1
1074,284,283,0.1
1075,284,285,0.1
1076,284,286,0.1
1077,21,21,0.1
1078,95,192,0.1
1079,144,144,0.1
1080,234,168,0.1
1081,234,187,0.1
1082,187,164,0.1
1083,165,165,0.1
1084,287,288,0.1
1085,43,43,0.1
1086,43,43,0.1
1087,144,53,0.1
1088,192,192,0.1
1089,192,192,0.1
1090,92,92,0.1
1091,92,92,0.1
1092,171,260,0.1
1093,289,289,0.1
1094,0,0,0.1
1095,21,21,0.1
1096,112,180,0.1
1097,4,116,0.1
1098,161,290,0.1
1099,161,161,0.1
1100,73,73,0.1
1101,192,192,0.1
1102,192,192,0.1
1103,192,192,0.1
1104,192,192,0.1
1105,95,291,0.1
1106,187,30,0.1
1107,27,11,0.1
1108,47,47,0.1
1109,47,47,0.1
1110,47,47,0.1
1111,47,47,0.1
1112,1,1,0.1
1113,1,1,0.1
1114,30,30,0.1
1115,30,30,0.1
1116,30,30,0.1
1117,30,30,0.1
1118,30,30,0.1
1119,324,292,0.1
1120,292,292,0.1
1121,293,111,0.1
1122,294,295,0.1
1123,294,294,0.1
1124,294,294,0.1
1125,2,2,0.1
1126,2,2,0.1
1127,2,114,0.1
1128,33,35,0.1
1129,39,35,0.1
1130,38,38,0.1
1131,127,127,0.1
1132,124,127,0.1
1133,124,124,0.1
1134,190,190,0.1
1135,190,190,0.1
1136,10,98,0.1
1137,180,99,0.1
1138,93,112,0.1
1139,296,98,0.1
1140,297,297,0.1
1141,298,298,0.1
1142,298,298,0.1
1143,298,298,0.1
1144,297,297,0.1
1145,297,298,0.1
1146,126,297,0.1
1147,99,102,0.1
1148,6,21,0.1
1149,153,153,0.1
1150,324,292,0.1
1151,160,160,0.1
1152,23,299,0.1
1153,300,300,0.1
1154,300,300,0.1
1155,23,23,0.1
1156,23,23,0.1
1157,152,152,0.1
1158,152,152,0.1
1159,21,21,0.1
1160,21,21,0.1
1161,189,301,0.1
1162,301,301,0.1
1163,301,301,0.1
1164,316,316,0.1
1165,302,303,0.1
1166,304,12,0.1
1167,305,52,0.1
1168,135,135,0.1
1169,8,302,0.1
1170,302,304,0.1
1171,304,304,0.1
1172,304,304,0.1
1173,304,304,0.1
1174,25,25,0.1
1175,249,249,0.1
1176,70,70,0.1
1177,306,196,0.1
1178,55,306,0.1
1179,306,306,0.1
1180,307,308,0.1
1181,309,279,0.1
1182,306,309,0.1
1183,306,308,0.1
1184,232,232,0.1
1185,152,152,0.1
1186,152,152,0.1
1187,152,152,0.1
1188,292,292,0.1
1189,31,31,0.1
1190,193,69,0.1
1191,69,69,0.1
1192,280,170,0.1
1193,280,280,0.1
1194,280,280,0.1
1195,280,280,0.1
1196,310,188,0.1
1197,188,188,0.1
1198,310,310,0.1
1199,188,311,0.1
1200,312,186,0.1
1201,166,186,0.1
1202,313,310,0.1
1203,188,412,0.1
1204,1,312,0.1
1205,312,312,0.1
1206,313,307,0.1
1207,188,188,0.1
1208,313,188,0.1
1209,314,314,0.1
1210,314,314,0.1
1211,314,314,0.1
1212,168,315,0.1
1213,315,315,0.1
1214,315,315,0.1
1215,187,31,0.1
1216,195,195,0.1
1217,316,178,0.1
1218,153,153,0.1
1219,153,153,0.1
1220,322,153,0.1
1221,317,153,0.1
1222,153,153,0.1
1223,64,64,0.1
1224,64,64,0.1
1225,318,319,0.1
1226,318,318,0.1
1227,318,318,0.1
1228,320,159,0.1
1229,12,321,0.1
1230,12,159,0.1
1231,317,317,0.1
1232,317,317,0.1
1233,322,317,0.1
1234,153,64,0.1
1235,323,324,0.1
1236,7,7,0.1
1237,28,28,0.1
1238,160,160,0.1
1239,160,160,0.1
1240,160,160,0.1
1241,160,160,0.1
1242,325,174,0.1
1243,325,326,0.1
1244,234,234,0.1
1245,265,327,0.1
1246,208,208,0.1
1247,328,208,0.1
1248,208,208,0.1
1249,173,152,0.1
1250,178,178,0.1
1251,178,178,0.1
1252,173,173,0.1
1253,68,68,0.1
1254,25,25,0.1
1255,20,20,0.1
1256,20,15,0.1
1257,167,167,0.1
1258,158,158,0.1
1259,268,268,0.1
1260,268,329,0.1
1261,330,330,0.1
1262,330,330,0.1
1263,330,268,0.1
1264,331,330,0.1
1265,15,157,0.1
1266,72,159,0.1
1267,159,72,0.1
1268,72,332,0.1
1269,72,72,0.1
1270,72,72,0.1
1271,127,127,0.1
1272,127,127,0.1
1273,185,185,0.1
1274,185,185,0.1
1275,185,185,0.1
1276,127,127,0.1
1277,333,54,0.1
1278,10,119,0.1
1279,333,334,0.1
1280,333,333,0.1
1281,333,333,0.1
1282,159,159,0.1
1283,72,72,0.1
1284,72,72,0.1
1285,152,152,0.1
1286,335,126,0.1
1287,335,335,0.1
1288,126,126,0.1
1289,126,336,0.1
1290,125,337,0.1
1291,125,184,0.1
1292,127,127,0.1
1293,124,127,0.1
1294,127,127,0.1
1295,127,127,0.1
1296,33,32,0.1
1297,33,33,0.1
1298,117,251,0.1
1299,34,34,0.1
1300,34,213,0.1
1301,32,32,0.1
1302,338,339,0.1
1303,34,340,0.1
1304,266,341,0.1
1305,342,343,0.1
1306,344,342,0.1
1307,344,2,0.1
1308,344,344,0.1
1309,115,115,0.1
1310,115,342,0.1
1311,183,183,0.1
1312,183,183,0.1
1313,345,345,0.1
1314,345,345,0.1
1315,345,345,0.1
1316,2,2,0.1
1317,2,2,0.1
1318,2,2,0.1
1319,2,2,0.1
1320,346,346,0.1
1321,346,346,0.1
1322,346,346,0.1
1323,235,298,0.1
1324,235,235,0.1
1325,347,235,0.1
1326,17,304,0.1
1327,73,348,0.1
1328,73,73,0.1
1329,73,73,0.1
1330,73,341,0.1
1331,144,144,0.1
1332,144,144,0.1
1333,339,339,0.1
1334,339,339,0.1
1335,183,183,0.1
1336,183,183,0.1
1337,183,183,0.1
1338,37,37,0.1
1339,37,37,0.1
1340,349,349,0.1
1341,349,105,0.1
1342,349,349,0.1
1343,92,92,0.1
1344,2,2,0.1
1345,2,2,0.1
1346,2,2,0.1
1347,2,2,0.1
1348,350,208,0.1
1349,350,351,0.1
1350,352,139,0.1
1351,353,353,0.1
1352,354,203,0.1
1353,355,192,0.1
1354,192,95,0.1
1355,356,291,0.1
1356,192,192,0.1
1357,192,192,0.1
