snapshot,name,carrier,region,components,attribute,value,status,aggregation
1/11/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/11/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/11/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/10/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/10/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/10/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,46.731315,TRUE,province
1/10/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/10/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/10/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/10/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/10/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/9/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/9/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/9/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,46.726815,TRUE,province
1/9/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/9/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/9/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/9/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/9/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/8/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/8/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/8/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,46.726815,TRUE,province
1/8/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/8/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/8/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/8/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/8/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/7/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/7/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/7/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,46.726815,TRUE,province
1/7/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/7/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/7/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/7/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/7/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/6/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/6/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/6/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,45.788565,TRUE,province
1/6/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/6/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/6/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/6/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/6/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/5/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/5/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/5/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,45.880295,TRUE,province
1/5/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/5/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/5/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/5/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/5/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/4/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/4/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/4/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,45.880295,TRUE,province
1/4/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/4/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/4/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/4/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/4/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/3/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/3/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/3/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,45.880295,TRUE,province
1/3/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/3/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/3/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/3/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/3/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/2/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/2/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/2/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,45.880295,TRUE,province
1/2/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/2/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/2/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/2/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/2/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/1/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/1/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/1/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,45.808565,TRUE,province
1/1/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/1/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/1/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/1/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/1/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/12/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.1,TRUE,province
1/12/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/12/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,45.869495,TRUE,province
1/12/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/12/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/12/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/12/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/12/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/11/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.1,TRUE,province
1/11/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/11/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.067495,TRUE,province
1/11/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/11/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/11/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/11/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/11/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/10/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.1,TRUE,province
1/10/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/10/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.626405,TRUE,province
1/10/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/10/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/10/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/10/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
