name,bus0,bus1,length,circuits,voltage,r,x,b,s_nom,num_parallel,v_nom
282,104,80,11.61232187,1,345000,0.580616094,2.903080468,0,,1,345000
283,80,80,2.169471655,1,345000,0.108473583,0.542367914,0,,1,345000
284,80,80,1.285648301,1,345000,0.064282415,0.321412075,0,,1,345000
285,111,111,0.215363654,1,345000,0.010768183,0.053840913,0,,1,345000
286,111,123,50.41652849,1,345000,2.520826424,12.60413212,0,,1,345000
287,111,111,0.31738955,1,345000,0.015869477,0.079347387,0,,1,345000
288,111,111,0.356486484,1,345000,0.017824324,0.089121621,0,,1,345000
289,111,111,0.07299276,1,345000,0.003649638,0.01824819,0,,1,345000
290,124,124,7.017428183,1,345000,0.350871409,1.754357046,0,,1,345000
291,124,124,7.534755689,1,345000,0.376737784,1.883688922,0,,1,345000
292,125,124,22.39181701,1,154000,1.11959085,5.597954252,0,,1,154000
293,111,111,0.162618398,1,345000,0.00813092,0.040654599,0,,1,345000
294,111,111,0.541613941,1,345000,0.027080697,0.135403485,0,,1,345000
295,111,111,0.170419647,1,345000,0.008520982,0.042604912,0,,1,345000
296,111,111,0.139944979,1,345000,0.006997249,0.034986245,0,,1,345000
297,111,111,0.138931238,1,345000,0.006946562,0.034732809,0,,1,345000
298,111,111,0.161580162,1,345000,0.008079008,0.04039504,0,,1,345000
299,111,111,0.179831052,1,345000,0.008991553,0.044957763,0,,1,345000
300,111,111,0.163701384,1,345000,0.008185069,0.040925346,0,,1,345000
301,111,111,0.177848495,1,345000,0.008892425,0.044462124,0,,1,345000
302,126,123,67.37133855,1,345000,3.368566928,16.84283464,0,,1,345000
303,123,123,0.177360983,1,345000,0.008868049,0.044340246,0,,1,345000
304,123,123,0.320446296,1,345000,0.016022315,0.080111574,0,,1,345000
305,123,123,0.235082227,1,345000,0.011754111,0.058770557,0,,1,345000
306,123,123,0.252177596,1,345000,0.01260888,0.063044399,0,,1,345000
307,123,123,0.153853473,1,345000,0.007692674,0.038463368,0,,1,345000
308,126,127,80.40787624,1,345000,4.020393812,20.10196906,0,,1,345000
309,123,123,0.29486336,1,345000,0.014743168,0.07371584,0,,1,345000
310,128,123,17.86419997,1,154000,0.893209998,4.466049992,0,,1,154000
311,123,230,28.95048096,1,345000,1.447524048,7.237620239,0,,1,345000
312,62,230,41.56959496,1,345000,2.078479748,10.39239874,0,,1,345000
313,129,63,21.42516403,1,154000,1.071258201,5.356291007,0,,1,154000
314,111,130,57.02328459,1,345000,2.851164229,14.25582115,0,,1,345000
315,62,62,0.120475864,1,345000,0.006023793,0.030118966,0,,1,345000
316,62,62,0.112393982,1,345000,0.005619699,0.028098495,0,,1,345000
317,63,131,19.84896259,1,154000,0.99244813,4.962240648,0,,1,154000
318,40,40,5.156466934,1,345000,0.257823347,1.289116733,0,,1,345000
319,63,131,20.36889482,1,154000,1.018444741,5.092223704,0,,1,154000
320,111,111,0.10817389,1,345000,0.005408694,0.027043472,0,,1,345000
321,124,124,0.127576195,1,345000,0.00637881,0.031894049,0,,1,345000
322,124,124,0.132883737,1,345000,0.006644187,0.033220934,0,,1,345000
323,40,40,0.075664854,1,345000,0.003783243,0.018916213,0,,1,345000
324,124,124,0.144106674,1,345000,0.007205334,0.036026668,0,,1,345000
325,124,124,0.140767542,1,345000,0.007038377,0.035191885,0,,1,345000
326,124,124,0.090912882,1,345000,0.004545644,0.022728221,0,,1,345000
327,40,40,0.083278107,1,345000,0.004163905,0.020819527,0,,1,345000
328,40,40,0.071915332,1,345000,0.003595767,0.017978833,0,,1,345000
329,111,111,0.101832667,1,345000,0.005091633,0.025458167,0,,1,345000
330,63,63,1.690806655,1,154000,0.084540333,0.422701664,0,,1,154000
331,124,124,0.712632458,1,345000,0.035631623,0.178158115,0,,1,345000
332,40,40,0.080540345,1,345000,0.004027017,0.020135086,0,,1,345000
333,124,124,0.727389393,1,345000,0.03636947,0.181847348,0,,1,345000
334,124,124,0.096633148,1,345000,0.004831657,0.024158287,0,,1,345000
335,230,124,1.691202013,1,345000,0.084560101,0.422800503,0,,1,345000
336,124,124,0.180613433,1,345000,0.009030672,0.045153358,0,,1,345000
337,119,132,54.95987717,1,345000,2.747993858,13.73996929,0,,1,345000
338,43,43,0.038633283,1,154000,0.001931664,0.009658321,0,,1,154000
339,43,43,0.069879318,1,154000,0.003493966,0.01746983,0,,1,154000
340,43,43,0.046646738,1,154000,0.002332337,0.011661685,0,,1,154000
341,43,43,0.059812849,1,154000,0.002990642,0.014953212,0,,1,154000
342,43,43,0.04721388,1,154000,0.002360694,0.01180347,0,,1,154000
343,43,43,0.044084063,1,154000,0.002204203,0.011021016,0,,1,154000
344,43,43,0.090229263,1,154000,0.004511463,0.022557316,0,,1,154000
345,43,43,0.079862704,1,154000,0.003993135,0.019965676,0,,1,154000
346,43,43,0.052678184,1,154000,0.002633909,0.013169546,0,,1,154000
347,43,43,0.089513288,1,154000,0.004475664,0.022378322,0,,1,154000
348,43,133,15.04386134,1,154000,0.752193067,3.760965335,0,,1,154000
349,134,134,0.200970304,1,345000,0.010048515,0.050242576,0,,1,345000
350,134,134,0.109237083,1,345000,0.005461854,0.027309271,0,,1,345000
351,119,119,0.075959689,1,345000,0.003797984,0.018989922,0,,1,345000
352,119,119,0.093339536,1,345000,0.004666977,0.023334884,0,,1,345000
